outcome,contrast,estimate,SE,df,CL,t.ratio,p.value,"unlist(T1_bf[3, ])",T1_rr,"unlist(T1_bf[5, ])"
attitude_T1,stat_vs_dy,-1.56,1.67,1291,"-4.84, 1.72",-0.93,.351,0.17,"[2.45, 10]",H0
interest_T1,stat_vs_dy,-1.52,1.81,1291,"-5.07, 2.02",-0.84,.399,0.2,"[2.8, 10]",H0
intentionuni_T1,stat_vs_dy,-2.19,1.88,1291,"-5.87, 1.5",-1.16,.244,0.17,"[2.45, 10]",H0
attitude_T1,none_vs_dy,0.3,2.07,1291,"-3.76, 4.36",0.14,.886,0.42,"[0.05, 6.55]",no
interest_T1,none_vs_dy,-0.77,2.24,1291,"-5.16, 3.62",-0.34,.731,0.32,"[4.8, 10]",H0
intentionuni_T1,none_vs_dy,-0.28,2.32,1291,"-4.84, 4.28",-0.12,.905,0.39,"[0.05, 5.9]",no
attitude_T1,norm_infostatic:formattext,6.24,3.34,1289,"-0.31, 12.78",1.87,.062,3.49,"[3.25, 9.55]",H1
interest_T1,norm_infostatic:formattext,7.5,3.61,1289,"0.42, 14.58",2.08,.038,4.6,"[2.6, 10]",H1
intentionuni_T1,norm_infostatic:formattext,11.35,3.74,1289,"4.01, 18.69",3.03,.002,22.41,"[1.5, 10]",H1
attitude_T1,dytext_vs_dyvis,6.7,2.36,1289,"2.07, 11.32",2.84,.005,22.81,"[1.05, 10]",H1
interest_T1,dytext_vs_dyvis,6.91,2.55,1289,"1.91, 11.91",2.71,.007,16.54,"[1.2, 10]",H1
intentionuni_T1,dytext_vs_dyvis,7.79,2.64,1289,"2.61, 12.98",2.95,.003,27.5,"[1.1, 10]",H1
attitude_diff,stat_vs_dy,-2.22,1.47,1291,"-5.11, 0.66",-1.51,.131,0.12,"[1.6, 10]",H0
interest_diff,stat_vs_dy,-0.42,1.17,1291,"-2.73, 1.88",-0.36,.720,0.17,"[2.5, 10]",H0
intention_diff,stat_vs_dy,1.33,1.17,1291,"-0.96, 3.63",1.14,.254,0.73,"[0.05, 10]",no
FFQ_meat_diff,stat_vs_dy,0.04,0.22,1222,"-0.38, 0.47",0.21,.836,0.18,"[0.55, 5]",H0
attitude_diff,none_vs_dy,-3.59,1.85,1291,"-7.22, 0.03",-1.95,.052,0.12,"[1.7, 10]",H0
interest_diff,none_vs_dy,-0.98,1.44,1291,"-3.81, 1.85",-0.68,.498,0.17,"[2.5, 10]",H0
intention_diff,none_vs_dy,0.28,1.43,1291,"-2.54, 3.09",0.19,.847,0.32,"[4.8, 10]",H0
FFQ_meat_diff,none_vs_dy,-0.21,0.27,1222,"-0.75, 0.33",-0.75,.452,0.53,"[0.05, 1.6]",no
attitude_diff,norm_infostatic:formattext,-3.11,2.92,1289,"-8.85, 2.62",-1.06,.287,0.27,"[4, 10]",H0
interest_diff,norm_infostatic:formattext,0.35,2.34,1289,"-4.25, 4.94",0.15,.882,0.47,"[0.05, 7.45]",no
intention_diff,norm_infostatic:formattext,-4.56,2.31,1289,"-9.1, -0.02",-1.97,.049,0.15,"[2.1, 10]",H0
FFQ_meat_diff,norm_infostatic:formattext,0.06,0.43,1220,"-0.79, 0.91",0.15,.884,0.36,"[0.05, 1.05]",no
attitude_diff,dytext_vs_dyvis,-5.23,2.05,1289,"-9.24, -1.21",-2.55,.011,0.11,"[1.5, 10]",H0
interest_diff,dytext_vs_dyvis,-2.29,1.61,1289,"-5.45, 0.88",-1.42,.157,0.13,"[1.85, 10]",H0
intention_diff,dytext_vs_dyvis,-3.37,1.61,1289,"-6.54, -0.21",-2.09,.037,0.1,"[1.4, 10]",H0
FFQ_meat_diff,dytext_vs_dyvis,-0.06,0.3,1220,"-0.66, 0.53",-0.2,.840,0.34,"[0.05, 1]",no
